partnerid,partner
1,eigentuemer
2,privat
3,schornsteinfeger mayerhofer
4,hausmeister brandmueller
5,commerzbank
6,mastercard hvb
7,finanzamt friedberg
8,stadt heusenstamm
9,stadt germering
10,stadtentwaesserung
11,abfallwirtschaft
12,datev
13,afa buchung
14,kapitalertrag dividende
15,haus grund muenchen
16,stumbaum gmbh
17,maingau energie
18,energieversorgung offenbach
19,swm versorgungs gmbh
20,proficlean gmbh
21,buchhaltungsbutler gmbh
22,alc gebaeudemanagement
23,allianz versicherung
24,knappschaft bahn see
25,hausverwaltung glaess
26,teamwerk architekten
27,reinke und zimpel
28,system
29,deutsche bank
30,stadt muenchen
31,ingenieurbuero truoel
32,bkr ingenieurbuero
33,tragwerkplan gmbh
34,fa nidda
35,bp bau gmbh
36,amtsgericht offenbach
37,fiege immobilien
38,riverty amazon
39,notar nadecki krojer
40,hausbank muenchen
41,landestreuhand weihenstephan
42,keupp reising bohnes
43,bayerische landesbrandversicherung
44,abflussblitz gmbh
45,senger kraft
46,thura heizkostenverteiler
47,elektroservice schrenk
48,strobel gbr
49,renate hake immobilien
50,landesjustizkasse bamberg
51,fensterbau jokiel
52,susak koch
53,beau ideal
54,fdh strobel
55,kapital effekten
56,schornsteinfeger duttine
57,mieter
58,senger kraft kfz
